timestamp,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,delta,sequence_id,label
15:34.7,-5.679389,55.946564,40.847328,0.126948,0.04127,0.171465,0.202428,34,x
15:35.5,42.221375,65.946564,24.80916,-0.049794,0.057128,0.055964,0.822165,35,x
15:35.7,-129.854965,164.175568,121.862595,-0.007902,-0.024816,0.038672,0.200779,35,x
15:35.9,-180.122131,-6.473282,-62.152672,0.061133,-0.06955,0.131143,0.201094,35,x
15:36.1,-54.091602,51.206108,-250.129776,0.033476,-0.123836,0.206213,0.200317,35,x
15:36.3,127.183205,14.221375,-198.954193,-0.117016,-0.118397,0.221692,0.201441,35,x
15:36.5,204.893127,97.480919,148.35878,-0.056181,-0.073311,0.114283,0.200135,35,x
15:36.7,-36.259541,28.709923,215.893127,0.070091,-0.005494,0.015967,0.19872,35,x
15:37.4,46.839695,18.465649,20.893129,-0.040891,0.069198,0.121211,0.724234,36,x
15:37.6,-30.091602,83.633591,73.419846,0.003356,0.020297,0.040214,0.200431,36,x
15:37.8,-157.412216,58.480915,-9.267176,0.088033,-0.028902,0.082188,0.201697,36,x
15:38.0,-137.931305,41.740459,-191.519089,0.050011,-0.113661,0.215576,0.197387,36,x
15:38.2,4.969466,97.625954,-250.129776,-0.067412,-0.138179,0.221692,0.201698,36,x
15:38.4,250.137405,49.366413,31.709923,-0.050796,-0.094744,0.139911,0.202345,36,x
15:38.6,121.816795,109.885498,173.580154,-0.020865,-0.019918,0.027684,0.201036,36,x
15:38.8,3.236641,18.725191,51.824429,0.143835,0.047332,0.110251,0.200326,36,x
15:39.6,58.221375,52.778625,47.633587,-0.055829,0.060754,0.089846,0.721553,37,x
15:39.8,-95.412216,63.801525,127.687019,0.016751,-0.010392,0.025411,0.200877,37,x
15:40.0,-152.366409,25.450382,-84.587784,0.108438,-0.059915,0.132009,0.201926,37,x
15:40.2,-78.442749,29.259542,-196.984726,0.04035,-0.123187,0.200205,0.200576,37,x
15:40.4,128.816788,96.923668,-163.320618,-0.096693,-0.093012,0.212464,0.200121,37,x
15:40.6,169.786255,119.610687,88.923668,-0.048766,-0.036047,0.102944,0.201369,37,x
15:40.8,9.450381,98.977097,153.946564,0.048712,0.017942,0.009553,0.197351,37,x
15:41.0,-30.145039,45.877861,-9.045801,0.033665,0.062243,0.095664,0.202938,37,x
15:41.6,6.824428,81.541985,50.603054,-0.022543,0.045464,0.092146,0.621672,38,x
15:41.8,-129.389313,-19.908398,58.480915,-0.012584,-0.006847,0.052284,0.200077,38,x
15:42.0,-149.984726,-45.900764,-130.885498,0.083053,-0.049118,0.148354,0.202014,38,x
15:42.2,-52.580154,25.122137,-165.229004,-0.020973,-0.081863,0.184239,0.200466,38,x
15:42.4,128.351151,73.770996,-40.9771,-0.111117,-0.076559,0.208703,0.201264,38,x
15:42.6,91.328247,80.908394,108.030533,-0.058427,-0.036534,0.076748,0.200624,38,x
15:42.8,28.732824,3.152672,101.854965,0.074015,0.039186,0.084542,0.197922,38,x
15:43.4,50.793892,-21.946566,-1.946565,-0.022299,0.044138,0.145134,0.624086,39,x
15:43.6,18.87023,18.984734,93.290077,-0.037995,0.025384,0.07001,0.199167,39,x
15:43.8,-131.7939,8.839695,48.709923,0.034639,-0.020324,0.087492,0.200528,39,x
15:44.0,-120.167938,42.251907,-82.328247,0.096855,-0.047359,0.178907,0.202819,39,x
15:44.2,8.061069,5.160306,-139.152664,0.016021,-0.068061,0.207187,0.198391,39,x
15:44.4,117.793892,35.183205,-44.503819,-0.103323,-0.046249,0.153442,0.203313,39,x
15:44.6,103.71756,52.229008,118.969467,0.035641,-0.011934,0.012178,0.200019,39,x
15:44.8,-4.633588,-19.572519,30.732824,0.038618,0.036534,0.105082,0.199524,39,x
15:45.4,38.748093,-7.274809,-5.328244,-0.027982,0.042,0.151439,0.622436,40,x
15:45.6,-13.870229,48.030533,55.389313,-0.02349,0.029444,0.075666,0.200118,40,x
15:45.8,-95.709923,-25.946566,61.236641,0.037806,-0.017347,0.060619,0.202345,40,x
15:46.0,-111.625954,25.778625,-89.297707,0.085435,-0.048739,0.170464,0.200596,40,x
15:46.2,25.259542,18.068703,-144.419846,-0.010419,-0.060998,0.218824,0.199213,40,x
15:46.4,114.061066,4.755725,-27.709923,-0.114418,-0.038807,0.155201,0.202716,40,x
15:46.6,79.541985,53.091602,81.114502,-0.052717,-0.003166,0.076207,0.200913,40,x
15:46.8,-2.427481,43.244274,84.32061,0.100103,0.036669,0.056993,0.19901,40,x
15:47.6,32.374046,-18.32061,-20.992367,-0.02874,0.057642,0.115122,0.722327,41,x
